2026-05-09 10:39:06,088 | INFO | agent  | Edge agent started (cmd_drop=0.00, cmd_delay_ms=0).
2026-05-09 10:39:56,799 | INFO | agent  | Sensor update: temperature=23.01
2026-05-09 10:39:56,800 | INFO | agent  | Sensor update: humidity=39.6
2026-05-09 10:39:56,800 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:56,800 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:56,800 | INFO | agent  | Sensor update: light=484.0
2026-05-09 10:39:58,301 | INFO | agent  | Sensor update: temperature=23.05
2026-05-09 10:39:58,302 | INFO | agent  | Sensor update: humidity=39.8
2026-05-09 10:39:58,302 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:58,302 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:58,303 | INFO | agent  | Sensor update: light=459.2
2026-05-09 10:39:59,808 | INFO | agent  | Sensor update: temperature=23.18
2026-05-09 10:39:59,808 | INFO | agent  | Sensor update: humidity=39.9
2026-05-09 10:39:59,808 | INFO | agent  | Sensor update: door=False
2026-05-09 10:39:59,808 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:39:59,808 | INFO | agent  | Sensor update: light=460.0
2026-05-09 10:40:01,314 | INFO | agent  | Sensor update: temperature=23.06
2026-05-09 10:40:01,315 | INFO | agent  | Sensor update: humidity=40.3
2026-05-09 10:40:01,315 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:01,315 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:40:01,315 | INFO | agent  | Sensor update: light=445.4
2026-05-09 10:40:02,815 | INFO | agent  | Sensor update: temperature=23.17
2026-05-09 10:40:02,815 | INFO | agent  | Sensor update: humidity=40.8
2026-05-09 10:40:02,815 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:02,815 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:40:02,815 | INFO | agent  | Sensor update: light=426.4
2026-05-09 10:40:04,322 | INFO | agent  | Sensor update: temperature=23.25
2026-05-09 10:40:04,322 | INFO | agent  | Sensor update: humidity=40.3
2026-05-09 10:40:04,322 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:04,322 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:04,322 | INFO | agent  | Sensor update: light=403.6
2026-05-09 10:40:05,828 | INFO | agent  | Sensor update: temperature=23.23
2026-05-09 10:40:05,828 | INFO | agent  | Sensor update: humidity=40.0
2026-05-09 10:40:05,828 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:05,829 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:05,829 | INFO | agent  | Sensor update: light=388.7
2026-05-09 10:40:07,332 | INFO | agent  | Sensor update: temperature=23.16
2026-05-09 10:40:07,332 | INFO | agent  | Sensor update: humidity=40.1
2026-05-09 10:40:07,332 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:07,332 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:07,332 | INFO | agent  | Sensor update: light=362.2
2026-05-09 10:40:08,838 | INFO | agent  | Sensor update: temperature=23.16
2026-05-09 10:40:08,839 | INFO | agent  | Sensor update: humidity=39.4
2026-05-09 10:40:08,839 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:08,839 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:08,839 | INFO | agent  | Sensor update: light=351.0
2026-05-09 10:40:10,341 | INFO | agent  | Sensor update: temperature=23.44
2026-05-09 10:40:10,341 | INFO | agent  | Sensor update: humidity=39.6
2026-05-09 10:40:10,341 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:10,341 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:10,342 | INFO | agent  | Sensor update: light=336.5
2026-05-09 10:40:11,845 | INFO | agent  | Sensor update: temperature=23.5
2026-05-09 10:40:11,846 | INFO | agent  | Sensor update: humidity=39.9
2026-05-09 10:40:11,846 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:11,846 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:11,846 | INFO | agent  | Sensor update: light=305.0
2026-05-09 10:40:13,347 | INFO | agent  | Sensor update: temperature=23.42
2026-05-09 10:40:13,347 | INFO | agent  | Sensor update: humidity=39.8
2026-05-09 10:40:13,347 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:13,347 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:13,347 | INFO | agent  | Sensor update: light=290.0
2026-05-09 10:40:14,851 | INFO | agent  | Sensor update: temperature=23.31
2026-05-09 10:40:14,852 | INFO | agent  | Sensor update: humidity=40.1
2026-05-09 10:40:14,852 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:14,852 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:14,852 | INFO | agent  | Sensor update: light=263.8
2026-05-09 10:40:16,356 | INFO | agent  | Sensor update: temperature=23.45
2026-05-09 10:40:16,356 | INFO | agent  | Sensor update: humidity=40.2
2026-05-09 10:40:16,356 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:16,356 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:16,356 | INFO | agent  | Sensor update: light=240.0
2026-05-09 10:40:17,857 | INFO | agent  | Sensor update: temperature=23.6
2026-05-09 10:40:17,857 | INFO | agent  | Sensor update: humidity=40.0
2026-05-09 10:40:17,857 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:17,857 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:17,857 | INFO | agent  | Sensor update: light=219.6
2026-05-09 10:40:19,358 | INFO | agent  | Sensor update: temperature=23.78
2026-05-09 10:40:19,358 | INFO | agent  | Sensor update: humidity=40.2
2026-05-09 10:40:19,358 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:19,358 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:19,358 | INFO | agent  | Sensor update: light=187.8
2026-05-09 10:40:20,864 | INFO | agent  | Sensor update: temperature=23.98
2026-05-09 10:40:20,865 | INFO | agent  | Sensor update: humidity=40.3
2026-05-09 10:40:20,865 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:20,865 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:20,866 | INFO | agent  | Sensor update: light=155.6
2026-05-09 10:40:22,371 | INFO | agent  | Sensor update: temperature=24.09
2026-05-09 10:40:22,372 | INFO | agent  | Sensor update: humidity=40.0
2026-05-09 10:40:22,372 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:22,372 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:22,373 | INFO | agent  | Sensor update: light=129.7
2026-05-09 10:40:23,877 | INFO | agent  | Sensor update: temperature=24.12
2026-05-09 10:40:23,877 | INFO | agent  | Sensor update: humidity=40.2
2026-05-09 10:40:23,878 | INFO | agent  | Sensor update: door=True
2026-05-09 10:40:23,878 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:23,878 | INFO | agent  | Sensor update: light=113.1
2026-05-09 10:40:24,139 | INFO | agent  | Sensor update: light=10
2026-05-09 10:40:24,139 | INFO | agent  | Task enqueued p=2 device=light cmd=on
2026-05-09 10:40:24,190 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:40:24,190 | INFO | agent  | Task enqueued p=1 device=alarm cmd=on
2026-05-09 10:40:24,240 | INFO | agent  | Sensor update: door=True
2026-05-09 10:40:24,859 | INFO | agent  | Dispatched command p=1 alarm=on (night-door-anomaly)
2026-05-09 10:40:24,860 | INFO | agent  | Device state sync: alarm=on
2026-05-09 10:40:25,382 | INFO | agent  | Sensor update: temperature=23.93
2026-05-09 10:40:25,382 | INFO | agent  | Sensor update: humidity=39.9
2026-05-09 10:40:25,383 | INFO | agent  | Sensor update: door=True
2026-05-09 10:40:25,383 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:25,383 | INFO | agent  | Sensor update: light=90.4
2026-05-09 10:40:25,665 | INFO | agent  | Dispatched command p=2 light=on (door-open-dark)
2026-05-09 10:40:25,667 | INFO | agent  | Device state sync: light=on
2026-05-09 10:40:26,888 | INFO | agent  | Sensor update: temperature=23.81
2026-05-09 10:40:26,888 | INFO | agent  | Sensor update: humidity=39.6
2026-05-09 10:40:26,888 | INFO | agent  | Sensor update: door=True
2026-05-09 10:40:26,888 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:26,888 | INFO | agent  | Sensor update: light=237.3
2026-05-09 10:40:28,394 | INFO | agent  | Sensor update: temperature=23.58
2026-05-09 10:40:28,395 | INFO | agent  | Sensor update: humidity=39.5
2026-05-09 10:40:28,395 | INFO | agent  | Sensor update: door=True
2026-05-09 10:40:28,395 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:28,395 | INFO | agent  | Sensor update: light=204.7
2026-05-09 10:40:29,901 | INFO | agent  | Sensor update: temperature=23.51
2026-05-09 10:40:29,901 | INFO | agent  | Sensor update: humidity=39.9
2026-05-09 10:40:29,901 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:29,901 | INFO | agent  | Task enqueued p=2 device=alarm cmd=off
2026-05-09 10:40:29,901 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:29,902 | INFO | agent  | Sensor update: light=185.2
2026-05-09 10:40:30,494 | INFO | agent  | Dispatched command p=2 alarm=off (occupancy-confirmed)
2026-05-09 10:40:30,495 | INFO | agent  | Device state sync: alarm=off
2026-05-09 10:40:31,405 | INFO | agent  | Sensor update: temperature=23.27
2026-05-09 10:40:31,405 | INFO | agent  | Sensor update: humidity=40.0
2026-05-09 10:40:31,405 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:31,405 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:31,406 | INFO | agent  | Sensor update: light=188.4
2026-05-09 10:40:32,911 | INFO | agent  | Sensor update: temperature=23.11
2026-05-09 10:40:32,911 | INFO | agent  | Sensor update: humidity=39.9
2026-05-09 10:40:32,912 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:32,912 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:32,912 | INFO | agent  | Sensor update: light=187.4
2026-05-09 10:40:34,418 | INFO | agent  | Sensor update: temperature=23.29
2026-05-09 10:40:34,419 | INFO | agent  | Sensor update: humidity=39.9
2026-05-09 10:40:34,419 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:34,419 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:40:34,419 | INFO | agent  | Sensor update: light=194.1
2026-05-09 10:40:35,922 | INFO | agent  | Sensor update: temperature=23.06
2026-05-09 10:40:35,922 | INFO | agent  | Sensor update: humidity=40.0
2026-05-09 10:40:35,922 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:35,922 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:40:35,922 | INFO | agent  | Sensor update: light=182.9
2026-05-09 10:40:37,428 | INFO | agent  | Sensor update: temperature=23.24
2026-05-09 10:40:37,429 | INFO | agent  | Sensor update: humidity=40.0
2026-05-09 10:40:37,429 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:37,429 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:40:37,429 | INFO | agent  | Sensor update: light=180.3
2026-05-09 10:40:38,935 | INFO | agent  | Sensor update: temperature=23.0
2026-05-09 10:40:38,935 | INFO | agent  | Sensor update: humidity=39.7
2026-05-09 10:40:38,935 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:38,935 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:40:38,935 | INFO | agent  | Sensor update: light=192.2
2026-05-09 10:40:40,436 | INFO | agent  | Sensor update: temperature=23.08
2026-05-09 10:40:40,436 | INFO | agent  | Sensor update: humidity=40.2
2026-05-09 10:40:40,436 | INFO | agent  | Sensor update: door=True
2026-05-09 10:40:40,436 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:40,436 | INFO | agent  | Sensor update: light=188.8
2026-05-09 10:40:41,938 | INFO | agent  | Sensor update: temperature=23.04
2026-05-09 10:40:41,938 | INFO | agent  | Sensor update: humidity=40.4
2026-05-09 10:40:41,938 | INFO | agent  | Sensor update: door=True
2026-05-09 10:40:41,938 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:41,938 | INFO | agent  | Sensor update: light=189.1
2026-05-09 10:40:43,443 | INFO | agent  | Sensor update: temperature=23.12
2026-05-09 10:40:43,443 | INFO | agent  | Sensor update: humidity=39.9
2026-05-09 10:40:43,443 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:43,443 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:43,443 | INFO | agent  | Sensor update: light=189.4
2026-05-09 10:40:44,949 | INFO | agent  | Sensor update: temperature=23.27
2026-05-09 10:40:44,949 | INFO | agent  | Sensor update: humidity=40.2
2026-05-09 10:40:44,949 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:44,949 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:44,949 | INFO | agent  | Sensor update: light=194.1
2026-05-09 10:40:46,453 | INFO | agent  | Sensor update: temperature=23.47
2026-05-09 10:40:46,454 | INFO | agent  | Sensor update: humidity=40.0
2026-05-09 10:40:46,454 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:46,454 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:46,454 | INFO | agent  | Sensor update: light=184.3
2026-05-09 10:40:47,961 | INFO | agent  | Sensor update: temperature=23.52
2026-05-09 10:40:47,961 | INFO | agent  | Sensor update: humidity=39.9
2026-05-09 10:40:47,961 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:47,961 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:47,961 | INFO | agent  | Sensor update: light=187.4
2026-05-09 10:40:49,467 | INFO | agent  | Sensor update: temperature=23.58
2026-05-09 10:40:49,467 | INFO | agent  | Sensor update: humidity=39.3
2026-05-09 10:40:49,467 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:49,467 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:49,467 | INFO | agent  | Sensor update: light=183.5
2026-05-09 10:40:50,973 | INFO | agent  | Sensor update: temperature=23.54
2026-05-09 10:40:50,974 | INFO | agent  | Sensor update: humidity=39.8
2026-05-09 10:40:50,974 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:50,974 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:40:50,974 | INFO | agent  | Sensor update: light=185.9
2026-05-09 10:40:52,480 | INFO | agent  | Sensor update: temperature=23.27
2026-05-09 10:40:52,481 | INFO | agent  | Sensor update: humidity=39.9
2026-05-09 10:40:52,481 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:52,481 | INFO | agent  | Sensor update: pir=False
2026-05-09 10:40:52,481 | INFO | agent  | Sensor update: light=187.9
2026-05-09 10:40:53,987 | INFO | agent  | Sensor update: temperature=23.4
2026-05-09 10:40:53,988 | INFO | agent  | Sensor update: humidity=39.9
2026-05-09 10:40:53,988 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:53,988 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:53,988 | INFO | agent  | Sensor update: light=193.4
2026-05-09 10:40:55,494 | INFO | agent  | Sensor update: temperature=23.32
2026-05-09 10:40:55,494 | INFO | agent  | Sensor update: humidity=40.2
2026-05-09 10:40:55,495 | INFO | agent  | Sensor update: door=False
2026-05-09 10:40:55,495 | INFO | agent  | Sensor update: pir=True
2026-05-09 10:40:55,495 | INFO | agent  | Sensor update: light=189.5
2026-05-09 10:40:57,001 | INFO | agent  | Sensor update: temperature=23.18
2026-05-09 10:40:57,002 | INFO | agent  | Sensor update: humidity=40.4
2026-05-09 10:40:57,002 | INFO | agent  | Sensor update: door=False
